year,month,month_label,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2020,4,Abril,26,PE,Northeast,female,17,17,2,2,0
2020,4,Abril,26,PE,Northeast,female,18,18,24,24,0
2020,4,Abril,26,PE,Northeast,female,19,19,24,24,0
2020,4,Abril,26,PE,Northeast,male,15,15,0,0,0
2020,4,Abril,26,PE,Northeast,male,16,16,0,0,0
2020,4,Abril,26,PE,Northeast,male,17,17,1,1,0
2020,4,Abril,26,PE,Northeast,male,18,18,4,4,0
2020,4,Abril,26,PE,Northeast,male,19,19,8,8,0
2020,4,Abril,27,AL,Northeast,combined,15,15,0,0,0
2020,4,Abril,27,AL,Northeast,combined,16,16,3,3,0
2020,4,Abril,27,AL,Northeast,combined,17,17,5,5,0
2020,4,Abril,27,AL,Northeast,combined,18,18,16,16,0
2020,4,Abril,27,AL,Northeast,combined,19,19,11,11,0
2020,4,Abril,27,AL,Northeast,female,15,15,0,0,0
2020,4,Abril,27,AL,Northeast,female,16,16,3,3,0
2020,4,Abril,27,AL,Northeast,female,17,17,5,5,0
2020,4,Abril,27,AL,Northeast,female,18,18,13,13,0
2020,4,Abril,27,AL,Northeast,female,19,19,8,8,0
2020,4,Abril,27,AL,Northeast,male,15,15,0,0,0
2020,4,Abril,27,AL,Northeast,male,16,16,0,0,0
2020,4,Abril,27,AL,Northeast,male,17,17,0,0,0
2020,4,Abril,27,AL,Northeast,male,18,18,3,3,0
2020,4,Abril,27,AL,Northeast,male,19,19,3,3,0
2020,4,Abril,28,SE,Northeast,combined,15,15,0,0,0
2020,4,Abril,28,SE,Northeast,combined,16,16,0,0,0
2020,4,Abril,28,SE,Northeast,combined,17,17,0,0,0
2020,4,Abril,28,SE,Northeast,combined,18,18,0,0,0
2020,4,Abril,28,SE,Northeast,combined,19,19,1,1,0
2020,4,Abril,28,SE,Northeast,female,15,15,0,0,0
2020,4,Abril,28,SE,Northeast,female,16,16,0,0,0
2020,4,Abril,28,SE,Northeast,female,17,17,0,0,0
2020,4,Abril,28,SE,Northeast,female,18,18,0,0,0
2020,4,Abril,28,SE,Northeast,female,19,19,1,1,0
2020,4,Abril,28,SE,Northeast,male,15,15,0,0,0
2020,4,Abril,28,SE,Northeast,male,16,16,0,0,0
2020,4,Abril,28,SE,Northeast,male,17,17,0,0,0
2020,4,Abril,28,SE,Northeast,male,18,18,0,0,0
2020,4,Abril,28,SE,Northeast,male,19,19,0,0,0
2020,4,Abril,29,BA,Northeast,combined,15,15,0,0,0
2020,4,Abril,29,BA,Northeast,combined,16,16,13,13,0
2020,4,Abril,29,BA,Northeast,combined,17,17,15,15,0
2020,4,Abril,29,BA,Northeast,combined,18,18,50,50,0
2020,4,Abril,29,BA,Northeast,combined,19,19,42,42,0
2020,4,Abril,29,BA,Northeast,female,15,15,0,0,0
2020,4,Abril,29,BA,Northeast,female,16,16,12,12,0
2020,4,Abril,29,BA,Northeast,female,17,17,14,14,0
2020,4,Abril,29,BA,Northeast,female,18,18,43,43,0
2020,4,Abril,29,BA,Northeast,female,19,19,32,32,0
2020,4,Abril,29,BA,Northeast,male,15,15,0,0,0
2020,4,Abril,29,BA,Northeast,male,16,16,1,1,0
2020,4,Abril,29,BA,Northeast,male,17,17,1,1,0
2020,4,Abril,29,BA,Northeast,male,18,18,7,7,0
2020,4,Abril,29,BA,Northeast,male,19,19,10,10,0
2020,4,Abril,31,MG,Southeast,combined,15,15,0,0,0
2020,4,Abril,31,MG,Southeast,combined,16,16,18,18,0
2020,4,Abril,31,MG,Southeast,combined,17,17,28,28,0
2020,4,Abril,31,MG,Southeast,combined,18,18,66,66,0
2020,4,Abril,31,MG,Southeast,combined,19,19,80,80,0
