year,uf_code,uf,region,variable_code,composition,first_below_15,first_below_16,second_below_15,second_below_16,both_below_15,both_below_16,total_marriages,marriages_at_least_one_below_15,affected_marriages_below_16,share_at_least_one_below_15,affected_share_below_16
2015,15,PA,North,4374,female_same_sex,0,0,0,0,0,0,32,0,0,0,0
2015,15,PA,North,4373,male_same_sex,0,0,0,0,0,0,55,0,0,0,0
2015,15,PA,North,221,opposite_sex,1,5,2,18,0,0,31787,3,23,9.43782049265423e-05,0.000723566237770158
2015,16,AP,North,all,all,0,0,0,0,0,0,2304,0,0,0,0
2015,16,AP,North,4374,female_same_sex,0,0,0,0,0,0,3,0,0,0,0
2015,16,AP,North,4373,male_same_sex,0,0,0,0,0,0,3,0,0,0,0
2015,16,AP,North,221,opposite_sex,0,0,0,0,0,0,2298,0,0,0,0
2015,17,TO,North,all,all,0,0,0,2,0,0,7482,0,2,0,0.000267308206361935
2015,17,TO,North,4374,female_same_sex,0,0,0,0,0,0,2,0,0,0,0
2015,17,TO,North,4373,male_same_sex,0,0,0,0,0,0,6,0,0,0,0
2015,17,TO,North,221,opposite_sex,0,0,0,2,0,0,7474,0,2,0,0.000267594327000268
2015,21,MA,Northeast,all,all,1,5,3,25,0,0,25855,4,30,0.0001547089537807,0.00116031715335525
2015,21,MA,Northeast,4374,female_same_sex,0,0,0,0,0,0,24,0,0,0,0
2015,21,MA,Northeast,4373,male_same_sex,0,0,0,0,0,0,50,0,0,0,0
2015,21,MA,Northeast,221,opposite_sex,1,5,3,25,0,0,25781,4,30,0.000155153019665645,0.00116364764749234
2015,22,PI,Northeast,all,all,0,1,7,19,0,0,12377,7,20,0.000565565161186071,0.00161590046053163
2015,22,PI,Northeast,4374,female_same_sex,0,0,0,0,0,0,9,0,0,0,0
2015,22,PI,Northeast,4373,male_same_sex,0,0,0,0,0,0,7,0,0,0,0
2015,22,PI,Northeast,221,opposite_sex,0,1,7,19,0,0,12361,7,20,0.000566297225143597,0.00161799207183885
2015,23,CE,Northeast,all,all,1,4,5,34,1,1,47590,5,37,0.000105064089094348,0.000777474259298172
2015,23,CE,Northeast,4374,female_same_sex,0,0,0,0,0,0,223,0,0,0,0
2015,23,CE,Northeast,4373,male_same_sex,0,0,0,0,0,0,246,0,0,0,0
2015,23,CE,Northeast,221,opposite_sex,1,4,5,34,1,1,47121,5,37,0.000106109802423548,0.000785212537934254
2015,24,RN,Northeast,all,all,1,1,1,5,0,0,16104,2,6,0.000124192747143567,0.0003725782414307
2015,24,RN,Northeast,4374,female_same_sex,0,0,0,0,0,0,31,0,0,0,0
2015,24,RN,Northeast,4373,male_same_sex,0,0,0,0,0,0,17,0,0,0,0
2015,24,RN,Northeast,221,opposite_sex,1,1,1,5,0,0,16056,2,6,0.000124564025909317,0.000373692077727952
2015,25,PB,Northeast,all,all,0,1,8,24,0,0,18974,8,25,0.000421629598397807,0.00131759249499315
2015,25,PB,Northeast,4374,female_same_sex,0,0,0,0,0,0,31,0,0,0,0
2015,25,PB,Northeast,4373,male_same_sex,0,0,0,0,0,0,18,0,0,0,0
2015,25,PB,Northeast,221,opposite_sex,0,1,8,24,0,0,18925,8,25,0.000422721268163805,0.00132100396301189
2015,26,PE,Northeast,all,all,0,3,5,25,0,0,50919,5,28,9.81951727253088e-05,0.00054989296726173
2015,26,PE,Northeast,4374,female_same_sex,0,0,0,0,0,0,129,0,0,0,0
2015,26,PE,Northeast,4373,male_same_sex,0,0,0,0,0,0,74,0,0,0,0
2015,26,PE,Northeast,221,opposite_sex,0,3,5,25,0,0,50716,5,28,9.85882167363357e-05,0.00055209401372348
2015,27,AL,Northeast,all,all,0,2,25,66,0,1,18049,25,67,0.00138511828910189,0.00371211701479306
2015,27,AL,Northeast,4374,female_same_sex,0,0,0,0,0,0,29,0,0,0,0
2015,27,AL,Northeast,4373,male_same_sex,0,0,0,0,0,0,19,0,0,0,0
2015,27,AL,Northeast,221,opposite_sex,0,2,25,66,0,1,18001,25,67,0.00138881173268152,0.00372201544358647
