year,month,period,trend_2019m02,post_april_2019,partial_march_2019,rate15,control_count,control_population,control_rate,log_rate_gap,month_factor,counterfactual_gap,dynamic_log_effect
2020,12,2020M12,22,1,0,0.603611914358467,10570,9286046.69411385,113.826694482379,-5.23950088129512,12,-5.04936552532494,-0.190135355970178
2021,1,2021M01,23,1,0,0.347690196551261,6318,9251288.863731,68.2931869608921,-5.2802534454322,1,-5.0572091960632,-0.223044249369
2021,2,2021M02,24,1,0,0.316081996864783,5647,9251288.863731,61.0401435213925,-5.26328535354733,2,-4.99718945280188,-0.266095900745454
2021,3,2021M03,25,1,0,0.316081996864783,5724,9251288.863731,61.8724599816629,-5.27682878455084,3,-5.13997377911003,-0.13685500544081
2021,4,2021M04,26,1,0,0.228123811240076,5360,9403285.77269085,57.0013517569208,-5.52094174824842,4,-5.02651242308654,-0.494429325161881
2021,5,2021M05,27,1,0,0.228123811240076,5592,9403285.77269085,59.4685744449069,-5.56331477809722,5,-5.10022359895831,-0.463091179138906
2021,6,2021M06,28,1,0,0.521425854263031,5675,9403285.77269085,60.3512446306951,-4.75136976334871,6,-4.89664680120292,0.145277037854211
2021,7,2021M07,29,1,0,0.518588879600868,6643,9293596.72412782,71.4793227766554,-4.92605206516291,7,-5.15341634091549,0.227364275752584
2021,8,2021M08,30,1,0,0.486177074625814,5358,9293596.72412782,57.6525984400602,-4.77561768873979,8,-4.78583722039015,0.0102195316503542
2021,9,2021M09,31,1,0,0.388941659700651,6516,9293596.72412782,70.1127904881359,-5.19443115967138,9,-5.07114061073497,-0.123290548936418
2021,10,2021M10,32,1,0,0.459084636395555,6560,9293829.27394243,70.5844685397073,-5.03533082084316,10,-4.92235510548852,-0.112975715354649
2021,11,2021M11,33,1,0,0.754210474078412,7012,9293829.27394243,75.4479105793335,-4.60552629863226,11,-4.99121439570347,0.385688097071207
2021,12,2021M12,34,1,0,1.04933631176127,9327,9293829.27394243,100.356911291136,-4.56057506444743,12,-5.16891331815547,0.608338253708045
2022,1,2022M01,35,1,0,0.385148727862334,5320,9246020.33149711,57.5382684578046,-5.00657597798287,1,-5.17675698889373,0.170181010910859
2022,2,2022M02,36,1,0,0.28886154589675,4712,9246020.33149711,50.9624663483412,-5.17289719343038,2,-5.11673724563241,-0.0561599477979771
2022,3,2022M03,37,1,0,0.353053000540473,5565,9246020.33149711,60.1880571367824,-5.13861103634645,3,-5.25952157194055,0.120910535594099
2022,4,2022M04,38,1,0,0.525759745839199,5310,9185770.22926028,57.8068019063395,-4.70001737634442,4,-5.14606021591706,0.446042839572648
2022,5,2022M05,39,1,0,0.2628798729196,5412,9185770.22926028,58.9172150503031,-5.41219143195905,5,-5.21977139178884,-0.192420040170218
2022,6,2022M06,40,1,0,0.328599841149499,5277,9185770.22926028,57.4475505950572,-5.16378692475983,6,-5.01619459403344,-0.14759233072639
2022,7,2022M07,41,1,0,0.643676299765037,5981,9147481.82316689,65.3841146188729,-4.62083865258339,7,-5.27296413374602,0.652125481162628
2022,8,2022M08,42,1,0,0.643676299765037,5252,9147481.82316689,57.414708239144,-4.49085983096152,8,-4.90538501322067,0.414525182259152
2022,9,2022M09,43,1,0,0.508165499814503,6163,9147481.82316689,67.3737332212194,-4.88720332456531,9,-5.19068840356549,0.303485079000184
2022,10,2022M10,44,1,0,0.804709359336283,5657,9101612.89918475,62.1538189182569,-4.34688637392162,10,-5.04190289831904,0.695016524397427
2022,11,2022M11,45,1,0,0.335295566390118,6575,9101612.89918475,72.2399433246489,-5.37273597297832,11,-5.110762188534,-0.261973784444328
2022,12,2022M12,46,1,0,0.469413792946165,8095,9101612.89918475,88.9402800324005,-5.24423574542288,12,-5.288461110986,0.0442253655631157
2023,1,2023M01,47,1,0,0.0995019647728884,5162,9072209.60686129,56.8990380920652,-6.34885632430464,1,-5.29630478172425,-1.05255154258038
2023,2,2023M02,48,1,0,0.132669286363851,4384,9072209.60686129,48.323398488108,-5.89781170020215,2,-5.23628503846293,-0.661526661739215
2023,3,2023M03,49,1,0,0.165836607954814,5487,9072209.60686129,60.4814068212246,-5.89908825731906,3,-5.37906936477108,-0.520018892547982
2023,4,2023M04,50,1,0,0.0995279762350432,4720,9029997.11190707,52.2702271274943,-6.26374344413639,4,-5.26560800874759,-0.998135435388797
