year,uf,sex,age_group,persons_married
2004,AL,male,25-29,3115
2004,AL,male,30-34,1663
2004,AL,male,35-39,854
2004,AL,male,40-44,506
2004,AL,male,45-49,265
2004,AL,male,50-54,228
2004,AL,male,55-59,163
2004,AL,male,60-64,159
2004,AL,male,65+,290
2004,AL,male,<15,0
2004,AL,male,unknown,0
2004,AM,female,15,30
2004,AM,female,16,222
2004,AM,female,17,272
2004,AM,female,18,370
2004,AM,female,19,446
2004,AM,female,20-24,2814
2004,AM,female,25-29,2354
2004,AM,female,30-34,1486
2004,AM,female,35-39,790
2004,AM,female,40-44,443
2004,AM,female,45-49,238
2004,AM,female,50-54,126
2004,AM,female,55-59,81
2004,AM,female,60-64,51
2004,AM,female,65+,44
2004,AM,female,<15,17
2004,AM,female,unknown,0
2004,AM,male,15,3
2004,AM,male,16,9
2004,AM,male,17,31
2004,AM,male,18,114
2004,AM,male,19,172
2004,AM,male,20-24,2327
2004,AM,male,25-29,2648
2004,AM,male,30-34,1805
2004,AM,male,35-39,1050
2004,AM,male,40-44,667
2004,AM,male,45-49,394
2004,AM,male,50-54,202
2004,AM,male,55-59,122
2004,AM,male,60-64,89
2004,AM,male,65+,151
2004,AM,male,<15,0
2004,AM,male,unknown,0
