year,uf,sex,age_group,persons_married
2003,MT,male,20-24,3210
2003,MT,male,25-29,2817
2003,MT,male,30-34,1582
2003,MT,male,35-39,853
2003,MT,male,40-44,507
2003,MT,male,45-49,283
2003,MT,male,50-54,177
2003,MT,male,55-59,100
2003,MT,male,60-64,96
2003,MT,male,65+,117
2003,MT,male,<15,2
2003,MT,male,unknown,9
2003,PA,female,15,40
2003,PA,female,16,628
2003,PA,female,17,706
2003,PA,female,18,947
2003,PA,female,19,925
2003,PA,female,20-24,5177
2003,PA,female,25-29,3833
2003,PA,female,30-34,2395
2003,PA,female,35-39,1293
2003,PA,female,40-44,679
2003,PA,female,45-49,408
2003,PA,female,50-54,230
2003,PA,female,55-59,160
2003,PA,female,60-64,100
2003,PA,female,65+,89
2003,PA,female,<15,23
2003,PA,female,unknown,4
2003,PA,male,15,3
2003,PA,male,16,19
2003,PA,male,17,49
2003,PA,male,18,192
2003,PA,male,19,397
2003,PA,male,20-24,4371
2003,PA,male,25-29,4518
2003,PA,male,30-34,3181
2003,PA,male,35-39,1921
2003,PA,male,40-44,1155
2003,PA,male,45-49,598
2003,PA,male,50-54,360
2003,PA,male,55-59,264
2003,PA,male,60-64,206
2003,PA,male,65+,400
2003,PA,male,<15,0
2003,PA,male,unknown,3
2003,PB,female,15,79
2003,PB,female,16,791
2003,PB,female,17,845
2003,PB,female,18,985
2003,PB,female,19,1028
2003,PB,female,20-24,4639
2003,PB,female,25-29,2572
2003,PB,female,30-34,1246
2003,PB,female,35-39,639
2003,PB,female,40-44,337
2003,PB,female,45-49,226
2003,PB,female,50-54,130
2003,PB,female,55-59,89
2003,PB,female,60-64,64
2003,PB,female,65+,56
2003,PB,female,<15,41
2003,PB,female,unknown,2
2003,PB,male,15,6
2003,PB,male,16,47
2003,PB,male,17,109
2003,PB,male,18,317
2003,PB,male,19,551
2003,PB,male,20-24,5019
2003,PB,male,25-29,3588
2003,PB,male,30-34,1711
2003,PB,male,35-39,931
2003,PB,male,40-44,482
2003,PB,male,45-49,270
2003,PB,male,50-54,188
2003,PB,male,55-59,138
2003,PB,male,60-64,114
2003,PB,male,65+,295
2003,PB,male,<15,1
2003,PB,male,unknown,2
2003,PE,female,15,116
2003,PE,female,16,1496
2003,PE,female,17,1692
2003,PE,female,18,1948
2003,PE,female,19,2153
2003,PE,female,20-24,10956
2003,PE,female,25-29,7115
2003,PE,female,30-34,3725
2003,PE,female,35-39,1957
2003,PE,female,40-44,1064
2003,PE,female,45-49,611
2003,PE,female,50-54,432
2003,PE,female,55-59,277
2003,PE,female,60-64,158
2003,PE,female,65+,169
2003,PE,female,<15,92
2003,PE,female,unknown,2
2003,PE,male,15,9
2003,PE,male,16,54
2003,PE,male,17,191
2003,PE,male,18,649
2003,PE,male,19,1058
2003,PE,male,20-24,10636
2003,PE,male,25-29,9474
2003,PE,male,30-34,4989
2003,PE,male,35-39,2543
2003,PE,male,40-44,1324
2003,PE,male,45-49,726
2003,PE,male,50-54,545
2003,PE,male,55-59,433
2003,PE,male,60-64,377
2003,PE,male,65+,948
2003,PE,male,<15,2
2003,PE,male,unknown,5
2003,PI,female,15,107
2003,PI,female,16,583
2003,PI,female,17,693
2003,PI,female,18,706
