path,sheet,row_number,row_text
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,88,33 | 1 | V1023 | Tipo de área | 1 | Capital | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,89,"2 | Resto da RM (Região Metropolitana, excluindo a capital)"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,90,"3 | Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,91,"4 | Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,93,43 | 15 | V1031 | Peso do domicílio e das pessoas | 6 dígitos e 8 casas decimais | Peso anual de 1ª visita com correção de não entrevista sem calibração pela projeção de população | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,94,58 | 15 | V1032 | Peso do domicílio e das pessoas | 6 dígitos e 8 casas decimais | Peso  anual de 1ª visita com correção de não entrevista com calibração pela projeção de população | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,95,73 | 9 | V1034 | Projeção da população por sexo e idade | Projeção da população de 1º de julho por sexo e idade | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,96,"82 | 3 | posest | Domínios de projeção geográficos | As 2 primeiras posições representam o código da Unidade da Federação e a última, o tipo de área. UF(2) + V1023(1) | 1º tri/2022 - 4º tri/2022"
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,97,85 | 3 | posest_sxi | Domínios de projeção por sexo e idade | A primeira posição representa o sexo (1- Homens; 2-Mulheres) e as 2 últimas representam os grupos etários. Sexo(1) + Idade(2) | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,99,88 | 2 | V2001 | 1 | Número de pessoas no domicílio | 01 a 30 | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,100,90 | 2 | V2003 | 3 | Número de ordem | 01 a 30 | 1º tri/2022 - 4º tri/2022
